"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"uncultured crAssphage",0.024449589565628,0.248238741021913,0.170003759839627,0.223451350125023,0.961324500520202,0.99024875405338,0.452895110178932,0.0158152560048783,0.967583973462986,0.3242839296186,0.983012220654723,0.746578314958877,NA,0.00123146518129939,0.689661587053575,0.103565841865395,0.709649462125443,0.99881363774454,0.976575688312525,0.0739671968412298,0.143057874419652,0.405274237469075,0.388904110534121
"Lactococcus lactis",0.872335705301161,0.346665993180221,0.0446222955134696,0.699638526290755,0.756258494112439,0.509113730010454,0.687674382341805,0.0535340188772179,0.926565954408784,0.856792811364138,0.983012220654723,0.89299130708983,NA,0.0103362052150042,0.492983536866431,0.29527392431419,0.582187771303484,0.99881363774454,0.947547076626934,0.0772609389921172,0.608861310160283,0.557831850683409,0.1439324396821
"Haemophilus parainfluenzae",0.0192315234081614,0.805043312213642,0.789794481159936,0.75727168733158,0.000327719280447875,0.00162663472569094,0.683528662598357,0.682883319431004,0.530824115914541,0.357423099628288,0.569753153275566,0.785168275150756,NA,0.608720498217477,0.689661587053575,0.562686771201849,0.511624648568897,0.99881363774454,0.766541296289249,0.905408438599021,0.649166335630681,0.638467326271209,0.25981167618415
"Eubacterium callanderi",0.0686220127414855,0.865430861645618,0.789794481159936,0.699638526290755,0.000305956516879352,0.00103563366382986,0.998278354082938,0.0831220497205595,0.0101735200680945,0.162787408513164,0.78271344080462,0.716628956448977,NA,0.0247142194040506,0.973801070386799,0.269389950993254,0.737072002524831,0.99881363774454,0.98977823864413,0.378554306673503,0.165582159779065,0.584314461447761,0.146294513247066
"Coprococcus eutactus",0.0686220127414855,0.29476445885851,0.966319342366822,0.368590223735127,3.91904214263602e-13,3.17614896560984e-11,0.750087804639304,0.00773739322837862,0.530824115914541,0.00233368556430313,0.78271344080462,0.479327102038354,NA,0.00334389440070209,0.825720441478175,0.372208631314638,0.703152259472503,0.99881363774454,0.886536101820946,0.512756113254565,0.146255944642865,0.599438263413562,0.00113826115251349
"Flavonifractor plautii",0.695699961682016,0.438582607248789,0.425969539880403,0.716882974787994,7.38534846919793e-07,0.000136388792205332,0.956637843288806,0.00219461660999737,0.499376218642938,0.0125667083455513,0.93533874482805,8.56459448537644e-16,NA,0.000106646231243585,0.898358578431074,0.194306750800528,0.823075489116016,0.99881363774454,0.766541296289249,0.656770789556945,0.510014910014312,0.69171135691014,0.00510426273561097
"Clostridium acetobutylicum",0.428146078059982,0.509980770036125,0.760727517918696,0.747295550288813,8.02185818770798e-06,0.00565548683693955,0.983218425842592,0.306956818160323,0.747927228695902,0.0760199357506971,0.945058290057136,0.600785719586591,NA,0.120438946508641,0.931239774220732,0.562686771201849,0.717915421701407,0.99881363774454,0.94652331781323,0.940843541694346,0.277076072390214,0.531310736448738,0.82560088305755
"Latilactobacillus curvatus",0.465033934408191,0.341265268160706,0.966319342366822,0.215829740847083,0.35465839054463,0.943902222063058,0.670061070212008,0.639825291746224,0.051988486661888,0.205369064379989,0.694770291598806,0.740312766772639,NA,0.801925677835413,0.857805880867105,0.423055801964992,0.596204309253915,0.99881363774454,0.886536101820946,0.452128716741221,0.824765320374575,0.629532730541003,0.0898337680115902
"Clostridia bacterium UC5.1-1D4",0.274389746649843,0.282651786116242,0.942616312651303,0.899161782391026,5.49286713669387e-06,0.000143777018419582,0.81796958599514,0.187687107072695,0.449408011121763,0.119418904694094,0.991532130565823,0.613534416680066,NA,0.00782989022724515,0.664980375416619,0.243285705682783,0.943579607125437,0.99881363774454,0.976575688312525,0.548224417468588,0.271451026794128,0.638467326271209,0.900286539494685
"Longicatena caecimuris",0.0899539985990564,0.248238741021913,0.971009648784848,0.439048180735579,1.45074068719851e-06,3.8903760100524e-06,0.958222816030516,0.0564406369731786,0.972745615063808,0.00662709922904828,0.961010953607263,0.843165116537613,NA,4.12764940280429e-05,0.689661587053575,0.384446151348893,0.99905187609028,0.99881363774454,0.886536101820946,0.869892593981941,0.401524388744641,0.616757753184727,0.153471574465987
"Staphylococcus haemolyticus",0.301682790158223,0.248238741021913,0.13951516768294,0.9695611675717,0.527060920347094,0.444296978147815,0.983218425842592,0.534201803690892,0.822357794725648,0.324614244457366,0.694770291598806,0.722234761718946,NA,0.54396359991409,0.973801070386799,0.592594287466858,0.377586576902041,0.99881363774454,0.916601954545402,0.493139775246622,0.295363720369569,0.916043207046914,0.677014972149604
"Actinomyces pacaensis",0.301682790158223,0.387730362491423,0.693893750216773,0.663544977441462,0.0962975861106994,0.00933350533722882,0.983927445908308,0.677172112140972,0.643552196998497,0.976529300807305,0.529518139645083,0.841478877941405,NA,0.320500312564331,0.689661587053575,0.418455706663033,0.582187771303484,0.99881363774454,0.886536101820946,0.413781951002968,0.360418176345929,0.307602081331495,0.42129371702288
"Streptococcus pneumoniae",0.9749251338356,0.430656152238358,0.794342893171994,0.774026768019829,0.15797649224919,0.309014671739093,0.89008578496962,0.0519203228039365,0.435918013753632,0.733223187455185,0.985963637161913,0.701714068063596,NA,0.0906464913391027,0.689661587053575,0.773207228967575,0.582187771303484,0.99881363774454,0.902032665702696,0.364102221472176,0.532654443464323,0.490289465445191,0.729023567734529
"Bifidobacterium adolescentis",0.920035085715566,0.311118037059383,0.622860081589313,0.0712672368145778,5.36058654207271e-06,9.35761628702774e-05,0.197393200513728,0.439822685862318,0.881260980591995,0.0247492071643746,0.945058290057136,0.644530860778654,NA,2.42714264541508e-05,0.973801070386799,0.214384325536441,0.709649462125443,0.99881363774454,0.886536101820946,0.257781244725269,0.177824081633829,0.308468786559205,0.4402782740889
"Phocaeicola coprophilus",0.790349866753458,0.248238741021913,1.5146711387535e-05,0.0737809514533486,0.2184893324062,0.929242074179499,0.730147088677402,0.228480192032333,0.527447878718052,0.0742650126138761,0.94469198321127,0.691340366711405,NA,1.26239030788715e-05,0.571390986095057,0.00824929656782955,0.582187771303484,0.99881363774454,0.886536101820946,0.344073365911405,0.24040324686902,0.616757753184727,6.84608666445488e-11
"Romboutsia sp. CE17",0.158217716227786,0.476230698072047,0.702026639918996,0.663544977441462,3.57992598471905e-06,0.00466051042107613,0.670061070212008,0.178828341632918,0.631484544267949,0.0262106353515586,0.694770291598806,0.814181593876315,NA,0.0537074116917802,0.893973974986878,0.888153444905369,0.911992463228151,0.99881363774454,0.998476324479096,0.999157603166827,0.285915033648335,0.595146442947475,0.191844477609795
